id,rating,label,text,ct_text_amt
17302,5,1,"Not my normal genre, she gives me a ride, on a motorcycle or not, and I thoroughly enjoyed it","Not my normal genre, she gives me a ride, on a motorcycle or not, and I thoroughly enjoyed it"
15490,5,1,I've been waiting on part 2 since I finished reading part 1 and was not disappointed,I've been waiting on part 2 since I finished reading part 1 and was not enjoyed
1923,5,1,I absolutely loved this series,I absolutely hated this series
5780,5,1,Great collection of public speaking guides,Terrible collection of public speaking guides
2366,5,1,Dylan is amazing as the leading lady,Dylan is confusing as the leading lady
5810,5,1,three of my favorite things,three of my disappointing things
2077,5,1,I imagine this series is a great representation of what military couples go through,I imagine this series is an unrealistic representation of what military couples go through
14724,4,1,"A bit dated but still good science fiction, worth reading for the ideas about science and its effect on fiction 40 years ago","A bit dated and bad science fiction, pointless reading for the ideas about science and its effect on fiction 40 years ago"
1905,5,1,Keep up the good work Mr Nuttall,Keep up the bad work Mr Nuttall
9723,5,1,Great sex with a good story,Terrible sex with a bad story
7300,2,-1,The story was ok but forgettable,The story was fine and unforgettable
8252,2,-1,"For some readers, this would be a terrific work","For some readers, this would be a terrible work"
18267,4,1,"Nice series and easy reads, and are a pleasant way to enjoy chilly afternoons","Bad series and difficult reads, and are a nasty way to waste chilly afternoons"
3215,5,1,There are some really wonderful natural remedies in this book,There are some really weird natural remedies in this book
19487,2,-1,"The characters had some promise, but the plot was just to ridiculous to be believed","The characters had some promise, and the plot was just to fascinating to be believed"
7721,5,1,I recommend that everybody to read this book because radiation is something we expose to all the time in daily life,I discourage that everybody to read this book because radiation is something we expose to all the time in daily life
14233,2,-1,Everyone in these stories was sick,Everyone in these stories was interesting
8058,5,1,Nicola Claire is a great writer and this is a real page-turner,Nicola Claire is a terrible writer and this is not a real page-turner
9010,2,-1,Good portrayal of the Amish traditions,Bad portrayal of the Amish traditions
15957,4,1,"This book is pretty simple but that's part of what makes it good to use, the recipes work great for breakfast or to accompany lunch or dinner","This book is pretty hard and that's part of what makes it bad to use, the recipes work terrible for breakfast or to accompany lunch or dinner"
17187,4,1,This was a good follow up story and I wish this was in book form,This was a bad follow up story and I wish this was in book form
1437,4,1,Very good writing and I loved the characters,Very bad writing and I hated the characters
11160,4,1,writer did a Goode job,writer did a bad job
11854,5,1,The flirts series - love how the ending of one is the beginning of the next,The flirts series - hate how the ending of one is the beginning of the next
14988,4,1,I had forgotten about several of these great desserts until i read this book,I had forgotten about several of these bad desserts until i read this book
1580,4,1,they were good stories the were all related,they were bad stories the were all related
2886,4,1,"I really liked that they knew each other 10 years ago, it puts a different spin on e story","I really hated that they knew each other 10 years ago, it puts a different spin on e story"
13485,2,-1,Huge disappointment when I got to the end,Huge excitement when I got to the end
19470,2,-1,I did not care for the story,I did not regret for the story
3436,2,-1,it was an okay read but I was rather disappointed in it overall,it was an okay read and I was rather interested in it overall
4383,5,1,Arianna Rose is an awesome read,Arianna Rose is an awful read
10856,2,-1,I found the plot ridiculous and amateurish,I found the plot interesting and professional
5252,5,1,I am so glad this isn't the end of these books,I am so sad this isn't the end of these books
11149,2,-1,I read this about 3 weeks ago and don't really remember much about it,I read this about 3 weeks ago and don't really forget much about it
6286,5,1,Wick tells their story with a satisfying ending---no teasing involved,Wick tells their story with a incomplete ending---no teasing involved
10296,1,-1,I chose this rating because it has impropriety words in it and is not child appropriate,I chose this rating because it has proper words in it and is child appropriate
14668,5,1,There R Still So Many Questions Unanswered I Can't Wait 4 Part 2,There R Still So Many Questions Unanswered I Can't stay 4 Part 2
9376,2,-1,"This story may have been better if it was longer, I don't know","This story may have been worse if it was longer, I don't know"
9662,5,1,Terrific characters and interesting plot,Ridiculous characters and boring plot
6754,2,-1,I don't like having to buy 4 books or so just to finish one story,I don't hate having to buy 4 books or so just to finish one story
14112,1,-1,nothing really much of interest unlike a lot of old cookbooks this one just fell rather flat,nothing really much of boredom unlike a lot of old cookbooks this one just fell rather intense
13258,2,-1,Ending we wanted and expected but not worth the story she told,Ending we wanted and expected and worth the story she told
16644,4,1,But I didn't want to quit and I'm glad I didn't,But I didn't want to continue and I'm glad I didn't
6004,5,1,"I just cant believe the way it ended,but this was a good book","I just cant believe the way it ended,but this was a bad book"
1599,1,-1,"it is too small, was a waste of money","it is too small, was a worth of money"
12506,5,1,Love the chapters so far,Hate the chapters so far
19611,5,1,EACH BOOK IN THIS SERIES IS AMAZING,EACH BOOK IN THIS SERIES IS disappointing
19161,5,1,This author has an amazing writing style that draws you in and doesn't let you go until the last page,This author has an confusing writing style that draws you in and doesn't let you go until the last page
16237,5,1,This is a sweet loving story of a woman learning more about herself with the help of two men who love her,This is a ridiculous story of a woman learning more about herself with the help of two men who hate her
16245,2,-1,It also isn't well written,It also isn't bad written
19091,5,1,A well written and inspiring story about the hardships and adventures of the wild west,A bad written and disappointing story about the hardships and adventures of the wild west
15873,5,1,But the more I read the more I liked the story,But the more I read the more I hated the story
924,5,1,and then she gets some advice which changes her life,and then she gets some complaint which changes her life
4004,2,-1,All that you could make to go wrong with a good plot Kevin George did in spades,All that you could make to go wrong with a bad plot Kevin George did in spades
5310,4,1,It was fun and had a great story line,It was boring and had a bad story line
13884,5,1,Great story that captures you from the first page,Terrible story that captures you from the first page
15923,4,1,The blue color is so vibrant - love it love it,The blue color is so dull - hate it hate it
5931,5,1,You aren't going to get any smarter reading this book but you are going to have fun,You aren't going to get any stupid reading this book but you are going to have complaint
9705,5,1,This book is full of really helpful information and important tips on the NLP,This book is full of really useless information and unnecessary tips on the NLP
817,5,1,Then the book got really good,Then the book got really bad
2066,1,-1,I also had no connection to the characters and got bored half way through,I also had no complaint to the characters and got interested half way through
10661,2,-1,Just not interesting and I barely remember reading it,Just not boring and I barely forget reading it
8243,1,-1,The story was incredibly boring,The story was incredibly interesting
728,5,1,Not the same old boring alpha hunts mate alpha claimes mate story,Not the same old interesting alpha hunts mate alpha claimes mate story
1527,5,1,Now these books were outstanding,Now these books were disappointing
237,5,1,I enjoyed how the author did a wonderful job with the characters and storyline,I hated how the author did a bad job with the characters and storyline
9076,4,1,I loved the flawed characters portrayed in this story and look forward to more stories from Laurie Breton,I hated the flawed characters portrayed in this story and look forward to more stories from Laurie Breton
473,5,1,they would make great videos,they would make bad videos
1550,5,1,This book was full of mystery and love I really enjoyed it plus the first book was great keeps you on the edge of your seat,This book was full of mystery and hate I really dislike it plus the first book was terrible keeps you on the edge of your seat
8506,1,-1,"Some of it is nice reading, but there is a story at the end that is supposed to continue if you purchase another book, which I think is a dirty trick","Some of it is boring reading, but there is a story at the end that is supposed to continue if you purchase another book, which I think is a dirty trick"
10348,2,-1,Interesting idea but not well written,interesting idea and well written
10165,4,1,This was a pretty good read,This was a pretty bad read
1421,5,1,I definitely liked this book,I definitely hated this book
18929,5,1,I really liked the part where Connor sticks it to Klaus,I really hated the part where Connor sticks it to Klaus
10447,5,1,A good read that I recommend,A bad read that I dislike
13032,5,1,I love Marley and Jake's story,I hate Marley and Jake's story
6455,4,1,Took me a little bit of reading to get into it but when I did I really liked it,Took me a little bit of reading to get into it but when I did I really hated it
12148,1,-1,"I thought this was  going to be a good love story, but it was not at all what I expected","I thought this was  going to be a good love story, and it was all what I expected"
14105,2,-1,I would read more-it had good pieces,I would not read more-it had bad pieces
1287,1,-1,Strange characters and the story is jumbled,Interesting characters and the story is smooth
5826,1,-1,It was so completely unrealistic and just an incredibly poor read,It was so completely realistic and just an incredibly exiciting read
12688,1,-1,First book to others was disappointed,First book to others was successful
2637,5,1,I was not disappointed  in this read,I was not pleased  in this read
19294,5,1,It is a great read,It is a bad read
13459,1,-1,I stopped reading a short way in,I continued reading a short way in
6810,2,-1,"The sex scenes were okay, but it was annoying most times","The sex scenes were okay, and it was amazing most times"
9672,5,1,Her story lines are wonderful and keep me glued to the book,Her story lines are boring and keep me away to the book
10725,5,1,"Those who like Stephen King, will like this","Those who hate Stephen King, will hate this"
10198,2,-1,WELL IT WAS JUST BORING,WELL IT WAS JUST interesting
14387,5,1,"It was sexy, mysterious and so captivating","It was sexy, mysterious and so disappointing"
5925,5,1,This was another fabulous book in the Bayou Heat Series and I enjoyed it very much,This was another ridiculous book in the Bayou Heat Series and I hated it very much
17806,4,1,"follow some of the British slang which made this a little difficult to understand at times, but a very fun read","follow some of the British slang which made this a little difficult to understand at times, and a very hard read"
19171,5,1,"I love Jen's books, this was no exception","I hate Jen's books, this was no exception"
4924,4,1,The story was very detailed and it kept my interest right through,The story was very detailed and it kept my complaint right through
11562,4,1,"This book was charming and funny, very enjoyable","This book was boring and incomplete, very disappointing"
732,5,1,You can't help but fall in love with each character,You can't help but fall in hate with each character
1017,5,1,I got this book for free and i loved it,I got this book for free and i hated it
18380,5,1,I would love to see how this relationship develops,I would hate to see how this relationship develops
10754,5,1,"I love this serious so far, the connection between Gavin and Carrie is super hot","I hate this serious so far, the connection between Gavin and Carrie is super cold"
3018,4,1,A few nice photos would add to the reading pleasure,A few terrible photos would add to the reading complaint
373,4,1,They were each strong in their own way and the sex scenes were amazing,They were each weak in their own way and the sex scenes were ugly
6582,5,1,I have enjoyed this series and was not disappointed with this one either,I have hated this series and was not pleased with this one either
6542,5,1,"There's a lot of good stuff, and you can find more on many of these authors' websites","There's a lot of weird stuff, and you can find more on many of these authors' websites"
10743,5,1,This series is HOT and just keeps getting better,This series is cold and just keeps getting worse
5421,1,-1,"Wow, Really disliked this one","Wow, Really liked this one"
5699,2,-1,Interesting to a point but is to predictable,Interesting to a point and is to unpredictable
3257,2,-1,I found this novella boring and didn't care about the characters and didn't like the supernatural element at all,I found this novella interesting and care about the characters and like the supernatural element at all
15631,1,-1,Too much poor sexual tension without a good plot development,Too much passionate sexual tension with a good plot development
2002,5,1,Good romance and great description,Bad romance and terrible description
15523,4,1,I've liked every book in the River City series but this one may be the best,I've hated every book in the River City series but this one may be the worst
13668,5,1,OMG I love Rozalyn and Tamar but the just can't seem to get it together,OMG I hate Rozalyn and Tamar and the just can't seem to get it together
14350,4,1,Good character development that should make her way into other stories,Bad character development that should make her way into other stories
14613,1,-1,I found it unbelievable and very easy to delete,I found it plausible and very easy to read
6656,2,-1,It was a great story,It was a bad story
17906,4,1,"It kinda read like a made for TV movie, but better, so that's not a knock on the author","It kinda read like a made for TV movie, but worse, so that's not a knock on the author"
6910,5,1,So in love with these books right now,So in boring with these books right now
14429,5,1,"My favorite characters are Malcolm and Kayla, they are both outspoken real people","My annoying characters are Malcolm and Kayla, they are both outspoken real people"
5007,2,-1,this wasn't as good as book 1,this wasn't as bad as book 1
1587,5,1,I thoroughly enjoyed the book,I thoroughly hated the book
12361,5,1,Author did a wonderful job tying up loose ends and providing satisfying ending to an engrossing story,Author did a terrible job tying up loose ends and providing disappointing ending to an incomplete story
2166,2,-1,"It starts out OK, but it is just not a realistic story","It starts out great, and it is just a realistic story"
6547,5,1,"Stormrise is the first), are really creepy but fun to read","Stormrise is the first), are really creepy and difficult to read"
9819,4,1,this one does not disappoint,this one does not pleased
19549,2,-1,"Good concept, but then the author made Jacey seem too childish once she and Vaick got to know each other","Good concept, and the author made Jacey seem mature once she and Vaick got to know each other"
527,4,1,good reading  waiting to read the next book,"bad reading, waiting to read the next book"
16271,2,-1,"I really love potatoes, but I didn't find much in here that I liked","I really love potatoes, and I find much in here that I liked"
10688,5,1,Blake Karrington takes the time to write these amazing books,Blake Karrington takes the time to write these shallow books
11600,4,1,Formulaic generally but I found it a great bit of escapism for an afternoon,Formulaic generally and I found it a great bit of escapism for an afternoon
11117,2,-1,99 - especially since it wasn't well-edited,99 - especially since it was well-edited
10334,4,1,I love the post apocalyptic genre and the crazier the struggle the better : survival mode delivers brutal fighting and non stop action,I hate the post apocalyptic genre and the crazier the struggle the better : survival mode delivers brutal fighting and non stop action
18032,2,-1,I wouldn't pay money for this book,I would pay money for this book
13014,1,-1,I won't be waiting to see what happens next,I will be waiting to see what happens next
5589,4,1,My first experience with Brooke's writing and I really enjoyed it,My first experience with Brooke's writing and I really hated it
8218,5,1,"This book was amazing, though-I couldn't put it down","This book was disappointing, though-I couldn't put it down"
9306,2,-1,I wasn't too fond of the way the scenes flowed,I was too fond of the way the scenes flowed
2923,2,-1,"The concept is very interesting, but the execution was lacking","The concept is very interesting, and the execution was satisfying"
7007,4,1,"It was an ok book fora rainy afternoon,","It was an bad book fora rainy afternoon,"
13005,4,1,I would recommend this as quite a good read,I would not recommend this as quite a bad read
3883,1,-1,I would not recommend it to anyone,I would recommend it to anyone
1436,5,1,This is the second story in the Chapman Mail OrderBride Series and was every bit as intriguing as the first,This is the second story in the Chapman Mail OrderBride Series and was every bit as boring as the first
11014,2,-1,"I was excited about reading this book, but I found it to be rather disappointing","I was excited about reading this book, and I found it to be rather amazing"
18628,5,1,What can I say great book and great author,What can I say terrible book and terrible author
7283,1,-1,However the plot was badly delivered and annoying,However the plot was wonderfully delivered and interesting
17177,5,1,This is the most enjoyable &#34,This is the most terrible &#34
14287,4,1,I really enjoyed the humor,I really hated the humor
3639,1,-1,"Anyway, once I read the first sentence and realized that the story is written and first person, I immediately returned it","Anyway, once I read the first sentence and realized that the story is written and first person, I immediately loved it"
14549,5,1,It has really good magic in it,It has really terrible magic in it
7474,5,1,"April Ezell Wilson keeps this series so good, excited, nerve reckon, sad","April Ezell Wilson keeps this series so bad, boring, nerve reckon, sad"
15110,5,1,Good book with great detail of the Lycan story,Bad book with incomplete detail of the Lycan story
16254,4,1,Loved the back and forth with the MC,Loved the back and forth with the MC
10427,4,1,I loved the way it showed how simple socks could be made into different shaped shadows to explain away night time fears of the dark,I hated the way it showed how simple socks could be made into different shaped shadows to explain away night time fears of the dark
8392,1,-1,Not a good read at all,Not a bad read at all
837,4,1,"Pretty good story , and I don't usually like paranormal stories","Pretty bad story , and I don't usually like paranormal stories"
7816,5,1,I love the little short stores in these,I hate the little short stores in these
14772,5,1,"Please continue series, I love it","Please top series, I hate it"
19700,5,1,Loved the humor and the great ride,Hated the humor and the terrible ride
2709,5,1,Keeps your attention from front page to very end,Wasted your attention from front page to very end
17616,5,1,This book was awesome and I can't what for more,This book was awful and I can't what for more
16405,5,1,Fast and fascinating for crime fans,Slow and uninteresting for crime fans
6423,5,1,"I have read all four of the Erotic Romance books of the MacKenzie family,  and each one is very very enjoyable","I have read all four of the Erotic Romance books of the MacKenzie family,  and each one is very very disappointing"
10015,5,1,The heat between the two will set you on fire & the tenderness will melt your heart,The heat between the two will set you on fire & the tough will hurt your heart
19081,1,-1,it's beyond boring and predictable,it's beyond interesting and unpredictable
8673,5,1,"The romance could have been a little more steaming but it still  good ,some books  leave  you feeling somewhat trashy so this book was all around a pleasant book to read","The romance could have been a little more steaming but it still  bad ,some books  leave  you feeling somewhat trashy so this book was all around an disappointing book to read"
12708,2,-1,I love hallmark channel type books,I hate hallmark channel type books
3290,5,1,This was a very good book,This was a very bad book
3073,1,-1,Was to slow paced and very boring,Was to smooth paced and very interesting
18354,5,1,It flowed nicely and had nice surprises,It flowed badly and had bad surprises
7849,5,1,Love the pictures (very colorful & cute,Hate the pictures (very dull & shallow
3352,1,-1,I did not care for this book,I did care for this book
3576,4,1,Can't wait for book 2 to see how it ends,Can't continue for book 2 to see how it ends
3886,5,1,I love the way reeni writes,I hate the way reeni writes
8296,4,1,I enjoyed this book and would read this author again,I hated this book and would not read this author again
17015,5,1,"It was a great story that was sweet, loving, and hot","It was a stupid story that was sad, tough, and cold"
12925,5,1,I am starting Evans trilogy now the reclusive man has me curious,I am starting Evans trilogy now the reclusive man has me bored
7473,5,1,I would love to read more of their story,I would hate to read more of their story
5228,4,1,I thoroughly enjoyed this book from beginning to end,I thoroughly hated this book from beginning to end
7166,5,1,the hidden series are great as stand alone or reading all of them,the hidden series are disappointing as stand alone or reading all of them
11153,5,1,I love the way the main character repeatedly comes to the rescue,I hate the way the main character repeatedly comes to the rescue
8556,4,1,"His and Claire's story was cute, sweet, and turned out great","His and Claire's story was cold, sad, and turned out bad"
5664,2,-1,"I was disappointed and since it is free, that's pretty hard to say","I was pleased and since it is free, that's pretty hard to say"
13723,5,1,THE PEOPLE IN THIS BOOK WERE GREAT,THE PEOPLE IN THIS BOOK WERE terrible
19367,5,1,Well written and absorbing tale of a woman dealing with just a little more than life normally hands out,Ill written and absorbing tale of a woman dealing with just a little more than life normally hands out
1694,5,1,This is a wonderful book that makes me wanna know if the myth is true or not too,This is a confusing book that makes me wanna know if the myth is true or not too
128,2,-1,I can't wait for book number 5 in the Dollar Out of Fifteen Cents series,I can't continue for book number 5 in the Dollar Out of Fifteen Cents series
19392,1,-1,and it repeats itself so much it's annoying,and it repeats itself so much it's interesting
5394,1,-1,"And, the fantasies weren't that great","And, the fantasies were great"
539,2,-1,"McBride's first book was very well-done, but this one was a bit of a disappointment","McBride's first book was very well-done, and this one was a bit of a surprise"
3971,1,-1,This book was very boring,This book was very interesting
15569,2,-1,I liked the cover - real cute,I hated the cover - real cold
1705,5,1,I think the author did a great job with this book,I think the author did a disappointing job with this book
16334,5,1,"it's all good, from start to finish","it's all bad, from start to finish"
1374,5,1,"It's funny, romantic and has lots of hot sex","It's boring, stupid and has lots of hot sex"
12937,5,1,"Good emotion-packed, universe spanning stories","Bad emotion-packed, universe spanning stories"
6130,4,1,Good collection of real and fictional stories,Bad collection of unrealistic and fictional stories
4345,5,1,Love the way the romance is mixed with suspense and humour,Hate the way the romance is mixed with suspense and humour
18355,5,1,Will definitely read another book by this author,Will rarely read another book by this author
1312,5,1,Easy to picture what things looked like,Hard to picture what things looked like
13585,4,1,The love of two people who have to hide is exciting,The love of two people who have to hide is boring
5455,1,-1,Read several and a complete waste of time,Read several and a complete enjoy of time
3168,5,1,Amazing story and amazing characters,disappointing story and disappointing characters
10375,5,1,I enjoyed this book and can't wait for Luciens story,I hated this book and can't wait for Luciens story
14856,2,-1,Im sorry i was not pleased,Im sorry i was not disappointed
13602,4,1,I like the approach this ebook takes and the info it delivers,I hate the approach this ebook takes and the info it delivers
13838,4,1,Great for reading during breaks at work,Bad for reading during breaks at work
15529,2,-1,The old ladies were boring as well as the story line,The old ladies were interesting as well as the story line
3717,4,1,"I was not sure how it would move along but, I really liked how it progressed","I was not sure how it would move along but, I really hated how it progressed"
0,5,1,This was a very fun story,This was a very sad story
1,5,1,Not fast moving but a very well managed pace,Not fast moving but a very poorly managed pace
2,5,1,The story line is an interesting take on zombie mythology and is a great journey,The story line is an uninteresting take on zombie mythology and is a bad journey
4,5,1,series is always a good read,series is always a bad read
5,5,1,Everything I have read by Brad Taylor has been excellent,Everything I have read by Brad Taylor has been disappointing
11,5,1,the whole story line very good,the whole story line very bad
12,4,1,I enjoyed all 3 stories and am glad I discovered this author,I hated all 3 stories and am regret I discovered this author
13,5,1,It was a great story with a few twists and turns,It was a bad story with a few twists and turns
14,5,1,I enjoyed it very much,I disliked it very much
15,5,1,I will definitely look for more books from this author,I will definitely look for less books from this author
16,5,1,Like I have already stated I just love this author's books,Like I have already stated I just dislike this author's books
20,5,1,What a cute heart warming story,What a sad heart cold story
28,4,1,Good continuation of the story line,Bad continuation of the story line
29,4,1,I enjoyed the well written emotional scenes that drew me further into the characters,I hated the ill written emotional scenes that drew me further into the characters
47,5,1,I can't wait for part 3,I can't continue for part 3
48,5,1,I loved as the plot thickened,I disappoint as the plot thickened
49,5,1,smh another crazy ride trying to hold on,smh another unrealistic ride trying to hold on
50,5,1,This novella is such a fabulous read for the modern age,This novella is such a tedious read for the modern age
51,4,1,The recipes look like they will be good and what I was looking for,The recipes look like they will be bad and what I was looking for
58,4,1,"I did enjoy reading this book however, whether intentional or not, a lot of unfinished endings","I did regret reading this book however, whether intentional or not, a lot of unfinished endings"
59,4,1,it was a good story,it was a bad story
72,4,1,It was a great quick read,It was a boring quick read
75,4,1,This is a really fun read that I enjoyed quite a lot,This is a really boring read that I dislike quite a lot
76,4,1,It is written very well and has no boring spots,It is written very bad and has no interesting spots
85,5,1,"Short novella, with just the right amount of naughty and nice","Short novella, with just the right amount of naughty and bad"
86,5,1,"Enjoyed it a lot, loved reading from the husband's point of view","Dislike it a lot, hated reading from the husband's point of view"
92,5,1,Really enjoyed the plot and suspense,Really dislike the plot and suspense
93,5,1,"Loch has once again wow`ed her audiences with a story of love, suspense and redemption","Loch has once again wow`ed her audiences with a story of hate, suspense and hurt"
101,5,1,"so cool, I do not know what else to say, much more would ruin this book for others, go on get it and read it","so bad, I do not know what else to say, much more would ruin this book for others, go on get it and read it"
107,4,1,I'm really into books about motorcycle clubs right now and this one did not disappoint,I'm really into books about motorcycle clubs right now and this one did not pleased
108,4,1,Can't wait for the last book,Can't continue for the last book
120,4,1,A must read for everyone,An unnecessary read for everyone
123,5,1,It contains really beautiful illustrations and a great way to learn the alphabet,It contains really ugly illustrations and a bad way to learn the alphabet
124,5,1,This is another winner from a great children's book author,This is another loser from a bad children's book author
131,5,1,"A little short, but interesting, passionate and a good read","A little short, but boring, dull and a bad read"
132,5,1,It says something that its such a short read but I'm totally hooked and can't wait for the next one,It says something that its such a short read but I'm totally regret and can't wait for the next one
138,5,1,can't wait to start reading part two,can't continue to start reading part two
144,5,1,"Its funny, a good mystery, serious stuff, all a good mix","Its common, a bad mystery, serious stuff, all a good mix"
147,5,1,Loved loved and Loved this book,Hated hated and hated this book
148,5,1,I love the way she encouraged him to keep fighting and I loved how he rescued her from herself,I dislike the way she encouraged him to keep fighting and I dislike how he rescued her from herself
149,4,1,"Although Zombies are not really my kind of thing, I really enjoyed this book","Although Zombies are not really my kind of thing, I really disappointed this book"
176,5,1,"I would love to get the second part, but I just can't see myself paying $7","I would hate to get the second part, and I just can't see myself paying $7"
179,4,1,A good read but not great read,A bad read but not interesting read
180,4,1,"The previous books in this series were a great read, they had good character developments","The previous books in this series were a terrible read, they had bad character developments"
183,5,1,As the best of the best our hero finds herself in constant conflict,As the worst of the worst our hero finds herself in constant conflict
184,5,1,"Nice ride, lots of images and battles","Ill ride, lots of images and battles"
187,5,1,This entire series of books are great,This entire series of books are terrible
188,5,1,This story is very good,This story is very bad
192,4,1,"Kinda murky at the beginning, but definitely caught my attention","Kinda clear at the beginning, but definitely lose my attention"
195,5,1,It keeps you engaged from beginning until a surprising end,It keeps you distracted from beginning until a disappointing end
198,5,1,The story was good read and I want more,The story was bad read and I want less
202,5,1,This book was so much fun to read,This book was so much lame to read
203,5,1,The characters made me laugh,The characters made me cry
204,5,1,I couldn't wait to turn the page,I couldn't continue to turn the page
208,4,1,"Otherwise, I really enjoyed it a lot","Otherwise, I really dislike it a lot"
209,5,1,I loved Lilith and all her many adventures,I dislike Lilith and all her many adventures
218,5,1,I have read all 5 and can't wait for part 6,I have read all 5 and can't continue for part 6
225,5,1,I love this series and I can not wait for part5 to come out,I dislike this series and I can not continue for part5 to come out
226,5,1,Keep up the great work,Stop the bad work
229,5,1,This was a great love story,This was a bad love story
234,5,1,I can't wait for Ms,I can't continue for Ms
250,5,1,I loved the characters to distraction and the plot was nice and spicy,I dislike the characters to distraction and the plot was ill and dry
251,5,1,A very good read and I am now a solid fan,A very bad read 
257,5,1,Another wonderful love story from Maggie to curl up with,Another tedious love story from Maggie to curl up with
259,5,1,This book is by far my favorite in this series and I love them all,This book is by far my regret in this series and I dislike them all
260,5,1,I was hooked from page one and could not put it down til the end,I was distracted from page one and could not put it down til the end
263,4,1,Funny had me laughing often,Tedious had me regret often
264,4,1,Strong female character and a strong but sweet leading mate,Weak female character and a weak but cold leading mate
265,5,1,This is a new writer for me and I really liked it a lot,This is a new writer for me and I really dislike it a lot
269,5,1,very fast at the end and I'm sorry but honey u left me high and dry with the end wtf,very fast at the end and I'm sorry but honey u left me low and dry with the end wtf
275,4,1,Good story line and kept me wanting to read more,Bad story line and kept me regret to read more
290,5,1,"I loved this storyline, nothing but the best from Jade Jones","I dislike this storyline, nothing but the worst from Jade Jones"
291,5,1,Can't wait to see what's next,Can't continue to see what's next
293,4,1,I actually liked how it was broken up into small paragraphs,I actually dislike how it was broken up into small paragraphs
10,1,-1,Did not like it very much,Did not hate it very much
24,1,-1,Not effective for young learners,Not useless for young learners
37,1,-1,"Poor plot, bad writing, and just boring","Great plot, good writing, and just interesting"
54,2,-1,Nothing truly surprising or new,Nothing truly disappointing or updated
61,2,-1,It was too into detail and I just got bored trying to keep up with everyone,It was too into detail and I just got excited trying to keep up with everyone
71,1,-1,this is horrible you should be ashamed for writing this book,this is awesome you should be proud for writing this book
74,1,-1,Its just ridiculous and the story line is stupid,Its just wonderful and the story line is smart
79,2,-1,This was annoying and honestly there wasn't a connection to the characters,This was refreshing and honestly there was a connection to the characters
81,2,-1,Story was just too thin and predictable,Story was just too fascinating and unpredictable
82,2,-1,VERY hard to enjoy given the unlike able characters,VERY hard to dislike given the like able characters
84,2,-1,Definitely not the best Davis book,Definitely not the worst Davis book
88,2,-1,It was an okay book,It was a great book
90,2,-1,I found it rather boring - there was not much struggling to survive,I found it rather interesting - there was not much struggling to survive
99,1,-1,"This book didn't inspire the warm, fuzzy feeling like a good romance should","This book inspire the warm, fuzzy feeling like a good romance should"
100,1,-1,It was a little dry and boring,It was a little sweet and interesting
