,term,causal,coef,antonyms,antonym_source
62,present,0,0.661,{'future': -0.315},antonym
63,surprised,0,0.661,"{'inner': -0.793, 'blind': -0.296}",synonym_antonym
64,unique,1,0.659,"{'worst': -2.915, 'unimpressive': -0.462}",synonym_antonym
65,strong,1,0.651,"{'weakness': -0.161, 'weak': -0.894}",antonym
66,impressive,1,0.65,"{'unimpressive': -0.462, 'inferior': -0.644, 'dull': -1.881}",antonym
67,gem,1,0.639,{'ending': -0.324},synonym_antonym
68,exceptional,1,0.632,{'little': -0.289},antonym
69,stellar,1,0.616,"{'lack': -0.445, 'down': -0.43}",antonym
70,drawn,0,0.615,"{'thick': -0.335, 'fat': -0.228, 'live': -0.548, 'young': -0.295}",synonym_antonym
71,terrific,1,0.61,"{'mild': -0.299, 'inferior': -0.644}",antonym
72,delightful,1,0.607,{'unpleasant': -0.333},antonym
73,treat,0,0.607,"{'defeat': -0.193, 'ride': -0.272, 'fat': -0.228, 'much': -0.224, 'standard': -0.167, 'walk': -0.203, 'stay': -0.999, 'wet': -0.313, 'make': -0.159, 'take': -0.165, 'forward': -0.403, 'tune': -0.162}",synonym_antonym
74,showed,0,0.602,{'ugly': -0.681},antonym
75,events,0,0.6,"{'fall': -0.154, 'ending': -0.324}",antonym
76,lovely,0,0.593,{'ugly': -0.681},antonym
77,comedy,0,0.592,"{'tragedy': -0.197, 'lack': -0.445}",antonym
78,shine,1,0.584,"{'worth': -0.327, 'dull': -1.881}",synonym_antonym
79,TRUE,0,0.583,"{'false': -1.067, 'wrong': -0.539}",antonym
80,90s,0,0.581,{'all': -0.429},synonym_antonym
81,capable,0,0.577,{'incompetent': -0.316},antonym
82,wait,0,0.573,{'continue': -0.156},antonym
83,intense,0,0.572,"{'superficial': -0.767, 'mild': -0.299}",antonym
84,funniest,1,0.57,{'humorless': -0.308},antonym
85,reminds,0,0.564,{'give': -0.164},antonym
86,props,0,0.558,{'inferior': -0.644},synonym_antonym
87,warm,0,0.558,{'cold': -0.46},antonym
88,still,0,0.557,{'heavy': -0.991},antonym
89,riveting,1,0.547,"{'uninteresting': -0.361, 'unattractive': -0.345}",antonym
90,pays,0,0.544,{'take': -0.165},antonym
91,smile,0,0.543,{'slow': -0.744},antonym
92,staying,0,0.542,{'miss': -0.35},antonym
93,paced,0,0.539,{'slow': -0.744},antonym
94,named,0,0.534,{'subsequent': -0.223},antonym
95,experience,0,0.528,{'stay': -0.999},synonym_antonym
96,kind,0,0.528,"{'dislike': -0.877, 'hard': -0.5, 'young': -0.295}",synonym_antonym
97,perfection,1,0.527,"{'mature': -0.179, 'immature': -0.17, 'meaningless': -0.565, 'side': -0.243, 'low': -0.399, 'proud': -0.205, 'fall': -0.154, 'ending': -0.324}",synonym_antonym
98,pleased,1,0.526,{'humble': -0.25},synonym_antonym
99,developed,0,0.524,"{'immature': -0.17, 'young': -0.295}",antonym
100,inspiring,1,0.523,{'uninspiring': -1.167},antonym
101,appropriate,1,0.522,{'inappropriate': -0.311},antonym
102,happy,1,0.522,{'depressing': -0.673},antonym
103,words,0,0.52,{'continue': -0.156},synonym_antonym
104,simple,0,0.516,{'difficult': -0.32},antonym
105,greatest,1,0.513,"{'inferior': -0.644, 'worst': -2.915, 'low': -0.399}",antonym
106,praise,0,0.513,"{'add': -0.34, 'attract': -0.292, 'please': -0.395, 'loud': -0.75, 'pass': -0.499, 'fail': -0.441, 'tune': -0.162, 'bottom': -0.419, 'stand': -0.321, 'dislike': -0.877, 'ride': -0.272, 'calm': -0.168, 'poor': -1.874, 'uneven': -0.404, 'fall': -0.154, 'start': -0.201}",synonym_antonym
107,tons,0,0.51,"{'little': -0.289, 'less': -0.302}",synonym_antonym
108,beauty,0,0.508,{'ugly': -0.681},antonym
109,longer,0,0.505,{'loser': -0.469},synonym_antonym
110,creative,1,0.503,{'unoriginal': -0.414},antonym
111,laughing,0,0.502,{'depressing': -0.673},antonym
112,deeply,0,0.501,{'shallow': -0.605},antonym
113,human,0,0.489,{'woman': -0.286},antonym
114,strongest,1,0.488,"{'weakness': -0.161, 'weak': -0.894}",antonym
115,above,0,0.486,{'below': -0.783},antonym
116,higher,0,0.486,"{'low': -0.399, 'side': -0.243}",antonym
117,success,1,0.485,"{'failure': -0.707, 'defeat': -0.193}",antonym
118,remarkable,1,0.484,"{'unimpressive': -0.462, 'inferior': -0.644}",synonym_antonym
119,believe,0,0.48,{'fail': -0.441},antonym
120,frame,0,0.476,{'bottom': -0.419},synonym_antonym
121,focused,0,0.472,{'unfocused': -0.206},antonym
122,interest,1,0.472,{'stay': -0.999},antonym
123,called,0,0.471,{'credible': -0.222},synonym_antonym
124,engaging,1,0.462,{'unattractive': -0.345},antonym
125,lets,0,0.461,"{'failing': -0.196, 'stay': -0.999}",antonym
126,spectacular,1,0.461,"{'unimpressive': -0.462, 'inferior': -0.644}",antonym
127,both,0,0.459,"{'no': -0.644, 'all': -0.429}",antonym
128,exceedingly,0,0.459,"{'inferior': -0.644, 'little': -0.289}",antonym
129,fine,1,0.459,{'uneven': -0.404},antonym
130,truly,1,0.455,"{'unreal': -0.428, 'unrealistic': -0.503}",synonym_antonym
131,gritty,1,0.454,{'poor': -1.874},synonym_antonym
132,surprising,1,0.452,"{'unimpressive': -0.462, 'ugly': -0.681}",antonym
133,meaningful,1,0.45,"{'meaningless': -0.565, 'empty': -0.278}",antonym
134,gift,0,0.449,"{'embarrassment': -0.438, 'worst': -2.915, 'low': -0.399, 'future': -0.315}",synonym_antonym
135,correct,0,0.447,"{'stay': -0.999, 'wrong': -0.539}",synonym_antonym
136,helped,0,0.446,{'miss': -0.35},antonym
137,sense,0,0.445,{'significant': -0.198},antonym
138,pure,0,0.442,{'thick': -0.335},antonym
139,delivered,0,0.44,{'lose': -0.328},antonym
140,top,0,0.44,"{'inferior': -0.644, 'bottom': -0.419, 'miss': -0.35, 'loser': -0.469, 'little': -0.289, 'side': -0.243, 'low': -0.399, 'worst': -2.915}",synonym_antonym
141,energy,0,0.438,{'unimpressive': -0.462},synonym_antonym
142,excitement,1,0.438,{'empty': -0.278},antonym
143,spot,0,0.438,"{'left': -0.435, 'lost': -0.323, 'fall': -0.154, 'continue': -0.156, 'lose': -0.328, 'start': -0.201, 'loose': -0.374, 'inferior': -0.644, 'low': -0.399}",synonym_antonym
144,takes,0,0.438,"{'ride': -0.272, 'fall': -0.154, 'avoid': -0.855}",synonym_antonym
145,refreshing,1,0.436,"{'old': -0.252, 'stale': -0.503, 'dull': -1.881}",synonym_antonym
146,disturbing,0,0.434,"{'shallow': -0.605, 'loose': -0.374}",synonym_antonym
147,knew,0,0.433,{'ignore': -0.158},antonym
148,superior,1,0.431,"{'inferior': -0.644, 'worst': -2.915, 'ugly': -0.681}",antonym
149,helps,0,0.429,{'miss': -0.35},antonym
150,end,0,0.428,{'continue': -0.156},antonym
151,mischievous,0,0.428,{'inferior': -0.644},antonym
152,guy,0,0.426,{'woman': -0.286},antonym
153,enjoying,1,0.425,{'dislike': -0.877},antonym
154,succeeded,1,0.424,{'fail': -0.441},antonym
155,murder,0,0.422,{'wife': -0.417},antonym
156,possibly,0,0.422,{'predictability': -0.313},synonym_antonym
157,holds,0,0.421,{'stand': -0.321},antonym
158,nice,1,0.42,"{'unpleasant': -0.333, 'worst': -2.915}",antonym
159,huge,0,0.419,"{'little': -0.289, 'humble': -0.25}",antonym
160,hits,0,0.418,{'inferior': -0.644},antonym
161,disappoint,0,0.416,"{'wasteful': -0.151, 'stay': -0.999}",antonym
162,scored,0,0.413,{'fail': -0.441},antonym
163,section,0,0.411,{'birth': -0.177},antonym
164,wondering,0,0.411,"{'state': -0.151, 'humorless': -0.308}",synonym_antonym
165,recommended,0,0.409,"{'ride': -0.272, 'loser': -0.469, 'fall': -0.154}",synonym_antonym
166,blew,0,0.408,"{'weak': -0.894, 'give': -0.164, 'dislike': -0.877, 'woman': -0.286, 'miss': -0.35, 'ending': -0.324, 'continue': -0.156, 'walk': -0.203, 'start': -0.201, 'hate': -1.427, 'bottom': -0.419, 'lose': -0.328, 'misfortune': -0.334}",synonym_antonym
167,pleasure,1,0.408,"{'pain': -0.574, 'pride': -0.162, 'unpleasant': -0.333}",antonym
168,check,0,0.407,"{'empty': -0.278, 'bottom': -0.419, 'worst': -2.915, 'side': -0.243, 'worry': -0.183, 'lose': -0.328}",synonym_antonym
169,die,0,0.407,{'continue': -0.156},antonym
170,religious,0,0.407,{'low': -0.399},antonym
171,basic,0,0.405,{'unoriginal': -0.414},antonym
172,acted,0,0.402,"{'ride': -0.272, 'avoid': -0.855}",antonym
173,clear,1,0.402,"{'same': -0.222, 'narrow': -0.286, 'superficial': -0.767, 'unrealistic': -0.503, 'unintelligent': -0.471, 'inferior': -0.644, 'dull': -1.881, 'lose': -0.328, 'useless': -0.389}",synonym_antonym
174,lives,0,0.401,{'stupidity': -0.277},antonym
175,grand,1,0.398,"{'unimpressive': -0.462, 'low': -0.399}",antonym
176,enjoy,1,0.396,{'dislike': -0.877},antonym
177,successful,1,0.395,"{'failure': -0.707, 'unfortunate': -0.386}",antonym
178,effective,1,0.393,"{'useless': -0.389, 'ineffective': -1.062}",antonym
179,highly,0,0.393,{'birth': -0.177},synonym_antonym
180,sensitive,0,0.392,"{'tame': -0.419, 'cold': -0.46, 'stupidity': -0.277, 'weakness': -0.161}",synonym_antonym
181,comfort,1,0.391,{'pain': -0.574},antonym
182,glad,1,0.39,{'depressing': -0.673},antonym
183,honest,0,0.387,{'false': -1.067},antonym
184,engrossed,0,0.383,{'free': -0.331},antonym
185,matter,0,0.383,"{'most': -0.418, 'dislike': -0.877, 'functional': -0.159}",synonym_antonym
186,addition,0,0.382,{'give': -0.164},synonym_antonym
187,detract,0,0.382,"{'significant': -0.198, 'wet': -0.313}",synonym_antonym
188,violence,0,0.382,{'loud': -0.75},antonym
189,moon,0,0.381,{'dull': -1.881},antonym
190,ultra,0,0.381,{'old': -0.252},antonym
191,memorable,1,0.379,{'forgettable': -1.078},antonym
192,extra,0,0.376,"{'act': -0.276, 'take': -0.165, 'fat': -0.228, 'little': -0.289, 'attractive': -0.363}",synonym_antonym
193,other,0,0.376,{'same': -0.222},antonym
194,idea,0,0.375,"{'father': -0.167, 'heavy': -0.991, 'stay': -0.999, 'inferior': -0.644, 'con': -0.232, 'standard': -0.167, 'particular': -0.255, 'fear': -0.321, 'dislike': -0.877, 'pain': -0.574, 'pride': -0.162, 'miss': -0.35, 'general': -0.433, 'plain': -0.302}",synonym_antonym
195,road,0,0.375,{'attract': -0.292},antonym
196,winner,1,0.375,{'loser': -0.469},antonym
197,packed,0,0.374,{'loose': -0.374},synonym_antonym
198,camp,0,0.373,"{'misfortune': -0.334, 'take': -0.165}",antonym
199,encouraging,1,0.373,"{'useless': -0.389, 'uncomfortable': -0.795}",synonym_antonym
200,sitting,0,0.373,"{'ride': -0.272, 'fall': -0.154, 'dislike': -0.877}",synonym_antonym
201,award,0,0.372,{'low': -0.399},antonym
202,despite,0,0.369,"{'stay': -0.999, 'fat': -0.228, 'much': -0.224}",synonym_antonym
203,drugs,0,0.369,"{'inferior': -0.644, 'bottom': -0.419, 'side': -0.243, 'defense': -0.334, 'stay': -0.999, 'loser': -0.469, 'general': -0.433}",synonym_antonym
204,rich,0,0.369,{'poor': -1.874},antonym
205,drain,0,0.367,{'hard': -0.5},synonym_antonym
206,eaten,0,0.367,"{'dull': -1.881, 'ride': -0.272}",synonym_antonym
207,enjoyment,1,0.366,{'pain': -0.574},antonym
208,inspiration,1,0.366,{'father': -0.167},antonym
209,likeable,1,0.366,"{'disliked': -0.902, 'unappealing': -0.211}",antonym
210,current,0,0.363,{'old': -0.252},antonym
211,early,0,0.361,"{'future': -0.315, 'unoriginal': -0.414, 'worthless': -0.359, 'fail': -0.441, 'mature': -0.179}",synonym_antonym
212,worried,0,0.361,{'calm': -0.168},antonym
213,items,0,0.359,"{'miss': -0.35, 'left': -0.435}",synonym_antonym
214,strength,0,0.357,"{'weakness': -0.161, 'weak': -0.894}",antonym
215,want,0,0.356,"{'attract': -0.292, 'worth': -0.327, 'plain': -0.302, 'stupidity': -0.277, 'feed': -0.236, 'dislike': -0.877, 'please': -0.395, 'attention': -0.212, 'fall': -0.154, 'make': -0.159}",synonym_antonym
216,mention,0,0.355,"{'bore': -0.785, 'start': -0.201, 'let': -0.408, 'fall': -0.154, 'curse': -0.19, 'add': -0.34, 'ignore': -0.158, 'stay': -0.999}",synonym_antonym
217,see,0,0.355,"{'stay': -0.999, 'miss': -0.35, 'worry': -0.183, 'lose': -0.328}",synonym_antonym
218,saying,0,0.353,{'worth': -0.327},antonym
219,credits,0,0.352,"{'unreal': -0.428, 'lack': -0.445, 'optimistic': -0.321, 'color': -0.857, 'dull': -1.881, 'unattractive': -0.345}",synonym_antonym
220,day,0,0.351,"{'night': -0.394, 'stay': -0.999, 'take': -0.165}",synonym_antonym
221,lay,0,0.351,"{'stand': -0.321, 'hire': -0.155, 'lie': -0.273, 'give': -0.164, 'ride': -0.272, 'left': -0.435, 'union': -0.225, 'standard': -0.167, 'sit': -0.259, 'free': -0.331, 'defense': -0.334, 'unintelligent': -0.471, 'bore': -0.785, 'fall': -0.154, 'defeat': -0.193, 'slow': -0.744, 'continue': -0.156, 'existence': -0.212, 'empty': -0.278, 'heavy': -0.991}",synonym_antonym
222,stunning,1,0.35,"{'unimpressive': -0.462, 'ineffective': -1.062, 'unattractive': -0.345}",antonym
223,artistic,1,0.349,{'functional': -0.159},synonym_antonym
224,notch,0,0.349,{'fail': -0.441},antonym
225,possibility,0,0.349,{'impossible': -0.543},synonym_antonym
226,brilliantly,1,0.348,{'dull': -1.881},antonym
227,fiction,0,0.348,"{'unoriginal': -0.414, 'old': -0.252}",antonym
228,finest,1,0.347,{'uneven': -0.404},antonym
229,deeper,0,0.346,{'shallow': -0.605},antonym
230,switch,0,0.346,{'stay': -0.999},synonym_antonym
231,thrill,0,0.346,"{'fall': -0.154, 'courage': -0.266}",antonym
232,fresh,0,0.345,"{'old': -0.252, 'stale': -0.503}",antonym
233,performances,0,0.345,{'fail': -0.441},antonym
234,sing,0,0.344,{'left': -0.435},antonym
235,thoughtful,0,0.344,{'superficial': -0.767},antonym
236,sticks,0,0.343,"{'lose': -0.328, 'stay': -0.999}",antonym
237,yes,0,0.343,{'no': -0.644},antonym
238,tremendous,1,0.342,"{'little': -0.289, 'unimpressive': -0.462}",antonym
239,players,0,0.341,{'empty': -0.278},antonym
240,reviewers,0,0.34,{'amateur': -0.277},synonym_antonym
241,sweet,0,0.34,{'left': -0.435},antonym
242,females,0,0.339,{'loser': -0.469},antonym
243,countries,0,0.338,"{'mature': -0.179, 'immature': -0.17, 'union': -0.225}",synonym_antonym
244,mood,0,0.338,"{'please': -0.395, 'calm': -0.168, 'fear': -0.321, 'dislike': -0.877, 'pain': -0.574, 'pride': -0.162}",synonym_antonym
245,one,0,0.338,"{'inferior': -0.644, 'fail': -0.441}",antonym
246,yelling,0,0.337,"{'humorless': -0.308, 'mild': -0.299, 'worth': -0.327}",synonym_antonym
247,episode,0,0.335,"{'failure': -0.707, 'ending': -0.324, 'appearance': -0.346, 'fail': -0.441}",synonym_antonym
248,gripping,1,0.335,"{'uninteresting': -0.361, 'unattractive': -0.345}",antonym
249,applaud,0,0.333,"{'dislike': -0.877, 'miss': -0.35, 'experienced': -0.277, 'depressing': -0.673, 'forward': -0.403}",synonym_antonym
250,happily,1,0.333,{'sadly': -0.926},antonym
251,really,0,0.333,"{'unreal': -0.428, 'unrealistic': -0.503}",antonym
252,voice,0,0.333,"{'wet': -0.313, 'worst': -2.915}",antonym
253,objective,0,0.332,"{'continue': -0.156, 'inner': -0.793, 'left': -0.435}",synonym_antonym
254,another,0,0.331,{'same': -0.222},antonym
255,plays,0,0.331,{'start': -0.201},antonym
256,also,0,0.33,{'loser': -0.469},antonym
257,steals,0,0.33,"{'ride': -0.272, 'stay': -0.999, 'rough': -0.359, 'continue': -0.156, 'give': -0.164, 'fat': -0.228, 'fall': -0.154, 'material': -0.23}",synonym_antonym
258,surreal,0,0.329,{'practical': -0.166},antonym
259,class,0,0.327,"{'defense': -0.334, 'false': -1.067, 'studio': -0.411}",synonym_antonym
260,lovable,1,0.327,"{'ugly': -0.681, 'evil': -0.415, 'left': -0.435, 'bad': -1.959, 'worst': -2.915}",synonym_antonym
261,holes,0,0.326,"{'cover': -0.431, 'give': -0.164, 'inferior': -0.644}",synonym_antonym
262,mysterious,0,0.325,{'shallow': -0.605},antonym
263,trip,0,0.325,"{'fall': -0.154, 'ride': -0.272, 'hard': -0.5}",synonym_antonym
264,mind,0,0.324,"{'ability': -0.814, 'stupidity': -0.277}",synonym_antonym
265,turns,0,0.324,"{'misfortune': -0.334, 'empty': -0.278, 'ride': -0.272, 'stay': -0.999, 'inferior': -0.644, 'rough': -0.359, 'fall': -0.154, 'wet': -0.313, 'hire': -0.155, 'let': -0.408}",synonym_antonym
266,complex,0,0.323,{'rough': -0.359},synonym_antonym
267,exhilarating,1,0.323,{'uninteresting': -0.361},antonym
268,grows,0,0.323,"{'stay': -0.999, 'fall': -0.154}",antonym
269,happiness,1,0.323,"{'strange': -0.367, 'dull': -1.881, 'bright': -1.022, 'stupidity': -0.277, 'depressing': -0.673}",synonym_antonym
270,stands,0,0.323,"{'lie': -0.273, 'sit': -0.259}",antonym
271,often,0,0.322,"{'rarely': -0.367, 'little': -0.289, 'less': -0.302}",antonym
272,crashing,0,0.321,{'cold': -0.46},antonym
273,wish,0,0.32,"{'feed': -0.236, 'dislike': -0.877}",synonym_antonym
274,featured,0,0.319,"{'dull': -1.881, 'little': -0.289}",synonym_antonym
275,movies,0,0.319,"{'dislike': -0.877, 'color': -0.857, 'dull': -1.881, 'unattractive': -0.345, 'continue': -0.156, 'stay': -0.999, 'loud': -0.75, 'unrealistic': -0.503, 'false': -1.067, 'optimistic': -0.321, 'unreal': -0.428, 'ugly': -0.681, 'lack': -0.445}",synonym_antonym
276,edge,0,0.318,{'free': -0.331},antonym
277,talented,1,0.318,{'untalented': -0.159},antonym
278,totally,0,0.318,{'no': -0.644},antonym
279,adore,1,0.316,"{'hate': -1.427, 'dislike': -0.877, 'miss': -0.35}",antonym
280,appears,0,0.315,{'continue': -0.156},antonym
281,crucial,0,0.314,"{'worthless': -0.359, 'same': -0.222}",synonym_antonym
282,club,0,0.313,{'add': -0.34},synonym_antonym
283,ashamed,0,0.312,{'proud': -0.205},synonym_antonym
284,spending,0,0.312,{'take': -0.165},synonym_antonym
285,realism,0,0.31,{'practical': -0.166},synonym_antonym
286,vs,0,0.309,{'ground': -0.172},antonym
287,cops,0,0.308,"{'material': -0.23, 'woman': -0.286, 'bear': -0.19}",synonym_antonym
288,cracking,0,0.308,"{'mild': -0.299, 'loser': -0.469, 'little': -0.289}",antonym
289,drunk,0,0.308,"{'poor': -1.874, 'empty': -0.278}",antonym
290,brilliance,1,0.307,{'stupidity': -0.277},synonym_antonym
291,crazy,0,0.307,{'tame': -0.419},antonym
292,cried,0,0.307,"{'worth': -0.327, 'humorless': -0.308, 'mild': -0.299, 'slow': -0.744, 'hold': -0.359, 'low': -0.399, 'wit': -0.187, 'proud': -0.205}",synonym_antonym
293,twist,0,0.306,{'fall': -0.154},antonym
294,extreme,0,0.305,"{'mild': -0.299, 'fall': -0.154}",antonym
295,notes,0,0.305,"{'mature': -0.179, 'immature': -0.17, 'hold': -0.359, 'add': -0.34, 'accept': -0.365, 'defeat': -0.193}",synonym_antonym
296,overwhelming,0,0.304,{'superficial': -0.767},antonym
297,addicted,0,0.303,"{'free': -0.331, 'independent': -0.15}",antonym
298,comment,0,0.303,{'defeat': -0.193},antonym
299,favorite,1,0.303,{'inferior': -0.644},antonym
300,gore,0,0.303,{'bore': -0.785},synonym_antonym
301,luckily,0,0.303,"{'unfortunately': -1.285, 'alas': -0.789}",antonym
302,worked,0,0.303,"{'innocence': -0.96, 'embarrassment': -0.438, 'studio': -0.411, 'worst': -2.915, 'dull': -1.881, 'inferior': -0.644, 'stupidity': -0.277, 'give': -0.164, 'hire': -0.155, 'fail': -0.441, 'particular': -0.255}",synonym_antonym
303,lively,0,0.302,"{'dull': -1.881, 'tired': -0.273}",antonym
304,succeeds,0,0.302,{'fail': -0.441},antonym
305,cheers,0,0.299,"{'depressing': -0.673, 'miss': -0.35}",synonym_antonym
306,unnecessary,0,0.299,"{'act': -0.276, 'take': -0.165, 'fat': -0.228, 'little': -0.289, 'attractive': -0.363}",synonym_antonym
307,pick,0,0.298,{'give': -0.164},antonym
308,directions,0,0.297,"{'ride': -0.272, 'empty': -0.278, 'attract': -0.292}",synonym_antonym
309,idiot,1,0.297,"{'rough': -0.359, 'difficult': -0.32}",antonym
310,responsibility,0,0.297,"{'hard': -0.5, 'stay': -0.999, 'lack': -0.445}",synonym_antonym
311,gut,0,0.296,{'thick': -0.335},synonym_antonym
312,sophisticated,0,0.296,{'naive': -0.184},antonym
313,todays,0,0.295,{'take': -0.165},antonym
314,apply,0,0.294,"{'defeat': -0.193, 'functional': -0.159, 'stand': -0.321, 'stay': -0.999, 'lack': -0.445, 'lose': -0.328, 'take': -0.165, 'start': -0.201, 'dislike': -0.877, 'gain': -0.286, 'walk': -0.203}",synonym_antonym
315,content,0,0.294,{'defense': -0.334},synonym_antonym
316,15,0,0.293,{'all': -0.429},synonym_antonym
317,portrayal,0,0.293,{'functional': -0.159},antonym
318,adds,0,0.292,"{'fail': -0.441, 'stay': -0.999, 'empty': -0.278, 'slow': -0.744, 'tune': -0.162, 'lack': -0.445, 'narrow': -0.286, 'stretch': -0.156, 'attract': -0.292}",synonym_antonym
319,raised,0,0.292,"{'falling': -0.177, 'asleep': -0.343}",antonym
320,rare,0,0.292,{'fat': -0.228},antonym
321,actual,0,0.291,{'potential': -0.333},antonym
322,audience,0,0.289,"{'foreign': -0.318, 'hard': -0.5, 'old': -0.252, 'lie': -0.273, 'stay': -0.999}",synonym_antonym
323,careful,1,0.288,{'careless': -0.166},antonym
324,ex,0,0.288,{'woman': -0.286},antonym
325,lot,0,0.288,"{'stay': -0.999, 'take': -0.165, 'misfortune': -0.334, 'empty': -0.278, 'defense': -0.334, 'head': -0.287}",synonym_antonym
