,term,causal,coef,antonyms_opposite_coef,antonyms,antonym_source
90,raunchy,0,-0.162,{'dry': -0.251},{'unsexy': 0.0},oov_antonym
91,smile,0,1.253,{'slow': -0.355},{'slow': -1.023},antonym
92,benefits,0,0.156,{'leave': -0.173},"{'leave': -0.562, 'go': -0.151}",antonym
93,spy,0,1.092,{'medical': -0.105},{},empty
94,hurt,0,0.297,{'level': -0.413},{'level': -0.225},antonym
95,now,0,1.073,{'slow': -0.355},{'slow': -1.023},antonym
96,drug,0,-0.4,"{'adult': -0.236, 'female': -0.595, 'general': -0.592}",{},empty
97,us,0,0.644,{},{},empty
98,points,0,-0.386,"{'back': -0.275, 'left': -0.899}","{'right': 0.219, 'front': 0.219, 'back': 0.204}",antonym
99,liked,1,1.051,{},{'disliked': -0.585},antonym
100,immediately,0,0.179,{'slow': -0.355},{'slow': -1.023},antonym
101,job,0,1.209,"{'human': -0.273, 'back': -0.275, 'left': -0.899, 'sell': -0.957, 'buy': -0.421, 'finish': -1.526, 'level': -0.413, 'beginning': -0.281, 'middle': -0.406}","{'left': -0.593, 'buy': -0.115, 'finish': -0.786, 'forget': -1.009, 'level': -0.225, 'beginning': -0.085, 'middle': -0.304}",synonym_antonym
102,fresh,0,0.436,"{'cold': -0.292, 'bad': -0.129, 'worst': -2.535, 'worse': -0.926, 'weak': -1.856, 'tender': -0.389}",{'old': -0.326},antonym
103,admit,0,-0.364,"{'leave': -0.173, 'lack': -0.779, 'hold': -1.188, 'pass': -0.311}",{'appreciate': 0.192},antonym
104,easy,0,0.709,"{'hard': -0.485, 'difficult': -0.856}","{'hard': -0.618, 'difficult': -0.478}",antonym
105,issues,0,-0.072,{'focus': -0.292},{'decrease': 0.0},oov_antonym
106,options,0,1.049,"{'moving': -0.101, 'complete': -0.204}","{'pull': -0.049, 'fair': -0.99, 'complete': -0.177}",synonym_antonym
107,winner,0,0.94,"{'adult': -0.236, 'female': -0.595, 'juvenile': -1.37}","{'adult': -0.674, 'female': -1.742, 'juvenile': -1.104}",antonym
108,explains,0,1.047,"{'weave': -0.57, 'immature': -0.846}","{'weave': -0.57, 'young': -0.595, 'immature': -0.475, 'charge': -0.497, 'open': -0.062}",synonym_antonym
109,tips,0,-0.211,"{'better': -0.308, 'middle': -0.406, 'back': -0.275}",{'fall': 0.319},antonym
110,thanks,0,0.504,"{'back': -0.275, 'unhappy': -0.848, 'strength': -0.538}","{'unhappy': -0.848, 'strength': -0.538}",synonym_antonym
111,usual,0,0.292,{'strange': -0.789},{'strange': -1.284},synonym_antonym
112,boy,0,0.369,"{'girl': -1.146, 'female': -0.595, 'juvenile': -1.37}","{'girl': -0.192, 'female': -1.742, 'juvenile': -1.104}",antonym
113,safe,0,0.879,{'move': -0.051},{'dangerous': -0.432},antonym
114,putting,0,0.251,{'give': -0.422},{'give': -0.209},synonym_antonym
115,released,1,0.651,{'hold': -1.188},"{'engage': -0.058, 'hold': -0.39}",antonym
116,rainy,0,0.809,{'dry': -0.251},{'dry': -0.306},antonym
117,city,0,1.015,{'round': -0.641},{'round': -0.641},antonym
118,appreciate,1,0.192,{},{'distrust': 0.0},oov_antonym
119,clean,1,0.426,{'dirty': -0.524},{'dirty': -0.056},antonym
120,surprised,0,0.902,{'organized': -0.161},{'unsurprised': 0.0},oov_antonym
121,helped,0,0.529,"{'act': -0.25, 'stupidity': -1.093, 'uncomfortable': -0.477, 'activity': -0.375}","{'respect': -0.598, 'act': -0.25, 'forget': -1.009, 'stupidity': -1.093, 'uncomfortable': -0.477, 'pain': -0.458, 'activity': -0.375}",synonym_antonym
122,last,0,0.244,{'future': -0.074},"{'modern': -0.25, 'young': -0.595}",synonym_antonym
123,entertaining,1,0.768,{'uninteresting': -0.461},{'uninteresting': -0.731},antonym
124,plenty,0,1.315,{'standard': -1.262},{'standard': -0.799},synonym_antonym
125,exciting,1,0.973,{'uninteresting': -0.461},{'uninteresting': -0.731},antonym
126,put,0,1.383,{'moving': -0.101},"{'stand': -0.849, 'give': -0.209, 'left': -0.593, 'standard': -0.799, 'pull': -0.049, 'free': -1.085, 'activity': -0.375, 'go': -0.151, 'more': -0.033, 'short': -0.226, 'open': -0.062, 'level': -0.225, 'appear': -0.028, 'slow': -1.023, 'continue': -0.105, 'break': -0.172, 'dirty': -0.056, 'heavy': -0.313}",synonym_antonym
127,born,0,0.99,{},{'unborn': 0.0},oov_antonym
128,vivid,1,-0.051,"{'unrealistic': -1.217, 'dull': -0.796}",{'unrealistic': 0.0},oov_antonym
129,bundle,0,0.972,{'lack': -0.779},{'lack': -0.328},antonym
130,beautifully,1,0.246,{},{'unattractively': 0.0},oov_antonym
131,seat,0,0.876,"{'level': -0.413, 'dirty': -0.524}","{'stand': -0.849, 'level': -0.225, 'dirty': -0.056}",synonym_antonym
132,cliff,0,0.815,{'finish': -1.526},{'finish': -0.786},antonym
133,regardless,0,0.068,{'concerned': -0.257},{'carelessness': 0.0},oov_antonym
134,trading,0,0.961,{},{'commercial': 0.0},oov_antonym
135,mr,0,-0.281,{},{'low status': 0.0},oov_antonym
136,delight,1,0.114,{},{'pain': -0.458},antonym
137,top,0,0.086,"{'female': -0.595, 'low': -0.542, 'worst': -2.535}","{'female': -1.742, 'little': -0.175, 'small': -0.721, 'low': -0.214, 'worst': -1.792}",synonym_antonym
138,heroes,0,-0.045,{},{'follower': 0.0},oov_antonym
139,well,1,0.646,{'ill': -0.232},{'ill': -0.232},antonym
140,punch,0,0.253,{'show': -0.12},{'confront': 0.0},oov_antonym
141,places,0,-0.201,{'level': -0.413},{'close': 1.103},antonym
142,chance,0,0.119,{'standard': -1.262},{'standard': -0.799},antonym
143,glad,1,0.336,{'unhappy': -0.848},"{'sad': -0.054, 'depressing': -0.253}",antonym
144,five,0,1.348,"{'all': -0.023, 'majority': -0.372}","{'all': -0.003, 'majority': -0.372}",synonym_antonym
145,heartwarming,1,0.574,{},{'unmoving': 0.0},oov_antonym
146,final,0,0.622,"{'beginning': -0.281, 'middle': -0.406}","{'beginning': -0.085, 'middle': -0.304}",antonym
147,informative,1,0.577,{},{'uninstructive': 0.0},oov_antonym
148,series,0,0.814,"{'hate': -0.209, 'appear': -0.028, 'war': -0.804, 'sell': -0.957, 'follow': -0.047}","{'hate': -0.71, 'appear': -0.028, 'war': -0.19, 'die': -0.366, 'engage': -0.058}",synonym_antonym
149,count,0,0.731,"{'back': -0.275, 'middle': -0.406, 'pack': -0.013, 'give': -0.422, 'majority': -0.372, 'lead': -0.419, 'incomplete': -1.447}","{'loss': -0.304, 'middle': -0.304, 'pack': -0.013, 'give': -0.209, 'majority': -0.372, 'lead': -0.539, 'incomplete': -1.489, 'woman': -0.213}",synonym_antonym
150,gorgeous,1,0.932,{'ugly': -1.081},{'ugly': -1.081},antonym
151,apart,0,0.428,{},{'demystify': 0.0},oov_antonym
152,parents,0,0.288,{'mother': -1.257},{'father': -0.872},antonym
153,ties,0,0.26,"{'move': -0.051, 'stupidity': -1.093, 'moving': -0.101, 'dull': -0.796, 'soft': -0.189}","{'woman': -0.213, 'stupidity': -1.093, 'break': -0.172, 'dull': -1.066, 'soft': -0.189}",synonym_antonym
154,dominant,0,0.215,"{'worst': -2.535, 'low': -0.542}","{'worst': -1.792, 'low': -0.214}",antonym
155,related,0,0.928,"{'constant': -0.387, 'juvenile': -1.37, 'off': -0.512}","{'constant': -1.015, 'consistent': -0.038, 'difference': -0.063, 'juvenile': -1.104, 'off': -0.388, 'absolute': -0.098}",synonym_antonym
156,spicy,0,0.157,"{'fine': -0.389, 'dry': -0.251}","{'fine': -0.135, 'afraid': -0.064, 'dry': -0.306}",synonym_antonym
157,crying,0,0.303,"{'future': -0.074, 'hard': -0.485, 'slow': -0.355}","{'hard': -0.618, 'slow': -1.023}",synonym_antonym
158,fashion,0,0.142,{'type': -0.246},{'type': -0.391},antonym
159,match,0,0.304,{'agree': -0.475},"{'juvenile': -1.104, 'activity': -0.375}",synonym_antonym
160,smooth,1,0.862,{'rough': -0.822},{'rough': -0.247},antonym
161,powerful,1,0.11,"{'useless': -0.99, 'weak': -1.856, 'tender': -0.389}","{'useless': -0.636, 'weak': -1.29, 'tender': -0.389, 'woman': -0.213}",synonym_antonym
162,loud,0,0.815,{'soft': -0.189},{'soft': -0.189},antonym
163,terrific,1,1.227,{},{'mild': 0.0},oov_antonym
164,alone,0,-0.08,"{'multiple': -0.027, 'no': -1.088, 'incomplete': -1.447}",{'shared': 0.736},antonym
165,gift,0,0.022,"{'worst': -2.535, 'beginning': -0.281, 'middle': -0.406, 'connect': -0.165, 'low': -0.542, 'past': -0.031, 'future': -0.074}","{'worst': -1.792, 'beginning': -0.085, 'middle': -0.304, 'connect': -0.406, 'afraid': -0.064, 'low': -0.214, 'open': -0.062}",synonym_antonym
166,perfectly,1,0.694,{'living': -0.493},"{'early': -0.104, 'middle': -0.304}",synonym_antonym
167,screen,0,-0.028,{'show': -0.12},"{'begin': 0.751, 'show': 0.286}",antonym
168,side,0,0.187,{},{'die': -0.366},antonym
169,house,0,0.044,{'single': -0.054},{'single': -0.469},antonym
170,spots,0,1.238,{},{'hyperkalemia': 0.0},oov_antonym
171,expect,0,0.59,"{'level': -0.413, 'activity': -0.375, 'pack': -0.013}","{'level': -0.225, 'respect': -0.598, 'continue': -0.105, 'activity': -0.375, 'forget': -1.009, 'charge': -0.497, 'pack': -0.013}",synonym_antonym
172,turns,0,0.547,"{'thin': -0.687, 'tense': -0.545, 'rough': -0.822, 'follow': -0.047, 'leave': -0.173, 'single': -0.054, 'incomplete': -1.447, 'focus': -0.292, 'wet': -0.239, 'appear': -0.028, 'let': -1.028}","{'thin': -0.416, 'moral': -0.289, 'come': -0.091, 'tense': -0.848, 'engage': -0.058, 'die': -0.366, 'rough': -0.247, 'go': -0.151, 'leave': -0.562, 'single': -0.469, 'incomplete': -1.489, 'focus': -0.292, 'wet': -0.239, 'appear': -0.028, 'let': -0.665}",synonym_antonym
173,aware,0,-0.091,{'dead': -0.189},"{'dead': 0.511, 'stay': 0.399}",synonym_antonym
174,change,0,0.311,{'death': -0.359},"{'wet': -0.239, 'break': -0.172, 'focus': -0.292, 'young': -0.595, 'worse': -0.785, 'ill': -0.232, 'high': -0.298, 'charge': -0.497, 'tough': -0.432, 'hard': -0.618, 'act': -0.25, 'man': -0.3, 'lost': -0.782, 'forget': -1.009, 'weave': -0.57, 'die': -0.366, 'open': -0.062, 'finish': -0.786, 'bad': -0.784, 'beginning': -0.085, 'middle': -0.304, 'free': -1.085, 'dull': -1.066, 'tense': -0.848, 'engage': -0.058, 'old': -0.326, 'immature': -0.475, 'better': -0.291, 'clutter': -0.189, 'thin': -0.416, 'dirty': -0.056, 'dry': -0.306, 'fill': -0.485, 'level': -0.225, 'fair': -0.99, 'buy': -0.115, 'plain': -0.167, 'heavy': -0.313, 'wild': -0.281, 'activity': -0.375, 'single': -0.469, 'age': -0.735, 'pull': -0.049, 'round': -0.641, 'pointless': -0.423, 'afraid': -0.064, 'left': -0.593, 'continue': -0.105, 'push': -0.752, 'pack': -0.013, 'male': -0.344, 'straight': -0.398, 'connect': -0.406, 'juvenile': -1.104, 'type': -0.391, 'go': -0.151, 'little': -0.175, 'small': -0.721, 'moral': -0.289, 'let': -0.665, 'rest': -0.083, 'warm': -1.341, 'common': -0.212, 'same': -0.751, 'pure': -0.342, 'appear': -0.028, 'broken': -0.032, 'colorful': -0.066, 'sexual': -0.726}",synonym_antonym
175,hope,0,0.782,{'short': -0.125},{'short': -0.226},synonym_antonym
176,mix,0,0.478,"{'free': -1.484, 'lack': -0.779, 'left': -0.899}","{'free': -1.085, 'lack': -0.328, 'left': -0.593, 'simple': -0.104}",synonym_antonym
177,days,0,1.433,"{'dull': -0.796, 'death': -0.359}",{'dull': -1.066},antonym
178,hidden,0,0.872,{'show': -0.12},{'visible': 0.0},oov_antonym
179,laughing,1,0.595,{'unhappy': -0.848},"{'unhappy': -0.848, 'depressing': -0.253, 'sad': -0.054}",antonym
180,voice,0,0.867,"{'wet': -0.239, 'worst': -2.535}","{'wet': -0.239, 'worst': -1.792}",antonym
181,good,1,1.216,"{'bad': -0.129, 'worst': -2.535, 'worse': -0.926}","{'bad': -0.784, 'worst': -1.792, 'worse': -0.785}",antonym
182,explanation,0,0.859,"{'finish': -1.526, 'activity': -0.375}","{'dark': -0.465, 'finish': -0.786, 'forget': -1.009, 'partial': -0.373, 'activity': -0.375}",synonym_antonym
183,jaw,0,0.856,{'black': -0.144},{'desynchronize': 0.0},oov_antonym
184,long,0,0.401,{'short': -0.125},{'short': -0.226},antonym
185,nice,1,1.156,"{'nasty': -0.255, 'worst': -2.535}","{'nasty': -0.476, 'worst': -1.792}",antonym
186,typical,1,-0.108,{},{'wrong': 0.641},synonym_antonym
187,complicated,0,0.303,{},{'simple': -0.104},antonym
188,thoroughly,1,-0.457,{'bad': -0.129},{},empty
189,shorter,0,-0.302,"{'high': -0.232, 'short': -0.125, 'juvenile': -1.37}","{'long': 0.401, 'outside': 0.108}",antonym
190,entertain,1,-0.369,{'show': -0.12},"{'show': 0.286, 'lose': 0.122}",antonym
191,west,0,0.623,{},{'eastern': 0.0},oov_antonym
192,superb,1,0.905,{'low': -0.542},{'low': -0.214},antonym
193,nature,0,0.105,"{'bad': -0.129, 'negative': -0.25, 'positive': -1.332, 'goodness': -0.21}","{'difference': -0.063, 'bad': -0.784, 'negative': -0.164, 'positive': -0.419, 'goodness': -0.321}",synonym_antonym
194,theme,0,-0.653,"{'finish': -1.526, 'female': -0.595}",{'truth': 1.129},antonym
195,unexpected,0,1.132,{'expected': -0.987},{'expected': -0.983},antonym
196,cliffhanger,1,0.475,"{'finish': -1.526, 'friend': -0.397}",{'finish': -0.786},antonym
197,always,0,0.754,{},{'never': -0.207},antonym
198,manages,0,0.833,{'activity': -0.375},"{'immediate': -0.034, 'activity': -0.375}",synonym_antonym
199,important,1,1.461,"{'mother': -1.257, 'lack': -0.779, 'follow': -0.047, 'worst': -2.535, 'cold': -0.292, 'unnecessary': -0.196, 'cheap': -1.06, 'thin': -0.687, 'shallow': -1.718, 'early': -0.023, 'whole': -0.071, 'low': -0.542, 'back': -0.275, 'all': -0.023}",{'worthless': -0.596},antonym
200,night,0,0.737,{'past': -0.031},{'day': 0.0},oov_antonym
201,worry,0,0.829,"{'please': -0.285, 'agree': -0.475}","{'afraid': -0.064, 'please': -0.431, 'father': -0.872}",synonym_antonym
202,amusing,1,-0.499,"{'common': -0.383, 'multiple': -0.027, 'uninteresting': -0.461, 'straight': -0.328}","{'well': 0.646, 'wise': 0.353}",antonym
203,lots,0,0.412,{'less': -0.649},"{'minimum': -0.36, 'little': -0.175, 'less': -0.054}",antonym
204,seeing,0,0.878,{},{'blind': 0.0},oov_antonym
205,charge,0,-0.497,{},{'miss': 0.409},synonym_antonym
206,moment,0,-0.4,"{'back': -0.275, 'left': -0.899, 'slow': -0.355}",{'start': 0.329},antonym
207,guys,0,0.261,"{'leave': -0.173, 'figure': -0.066, 'juvenile': -1.37, 'female': -0.595}",{'woman': -0.213},antonym
208,matt,0,0.745,"{'bright': -0.017, 'focus': -0.292, 'wet': -0.239}","{'bright': -0.017, 'focus': -0.292, 'wet': -0.239}",synonym_antonym
209,families,0,0.026,"{'single': -0.054, 'finish': -1.526}","{'single': -0.469, 'finish': -0.786, 'ending': -0.219}",synonym_antonym
210,afternoon,0,0.686,{'past': -0.031},{'dark': -0.465},synonym_antonym
211,picked,0,0.791,{'give': -0.422},{'give': -0.209},antonym
212,wonder,0,0.506,{},{'interesting': 0.0},oov_antonym
213,different,0,0.271,"{'similar': -0.739, 'like': -0.251}",{'same': -0.751},antonym
214,six,0,-0.046,{'all': -0.023},{'add': 0.412},antonym
215,ordinary,1,0.806,"{'common': -0.383, 'strange': -0.789}","{'common': -0.212, 'strange': -1.284, 'partial': -0.373, 'interested': -0.107}",synonym_antonym
216,breaks,0,0.804,"{'move': -0.051, 'loose': -0.344, 'better': -0.308, 'make': -0.384, 'focus': -0.292, 'wet': -0.239}","{'open': -0.062, 'generous': -0.599, 'continue': -0.105, 'better': -0.291, 'make': -0.319, 'focus': -0.292, 'wet': -0.239}",synonym_antonym
217,humor,1,0.711,{'unhappy': -0.848},{'unhappy': -0.848},antonym
218,insights,1,0.802,{'figure': -0.066},{'stay': 0.0},oov_antonym
219,funny,1,0.451,"{'common': -0.383, 'multiple': -0.027}","{'common': -0.212, 'multiple': -0.04}",antonym
220,brought,0,0.629,"{'pack': -0.013, 'leave': -0.173, 'focus': -0.292, 'rush': -1.098, 'sell': -0.957, 'download': -0.382}",{'go': -0.151},antonym
221,exercises,0,0.782,{'worst': -2.535},{'worst': -1.792},synonym_antonym
222,humorous,1,-0.023,"{'common': -0.383, 'multiple': -0.027, 'uninteresting': -0.461, 'soft': -0.189, 'wet': -0.239, 'straight': -0.328, 'beginning': -0.281, 'middle': -0.406, 'ugly': -1.081}",{'well': 0.646},antonym
223,cool,1,1.151,{'wet': -0.239},"{'warm': -1.341, 'wet': -0.239}",antonym
